ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
mudburra,,559,mdb,mwd,{},-17.3333333333,132.083333333,Australia,,Mudburra,177,False,False
yankuntjatjara,,559,ynk,kdd,{},-27.0,132.0,Australia,,Yankuntjatjara,966,False,False
limilngan,,45,lml,lmc,{},-12.5,131.916666667,Australia,,Limilngan,1513,False,False
bilinarra,,559,bnr,nbj,{},-16.0,131.666666667,Australia,,Bilinarra,916,False,False
wagiman,,61,wag,waq,{},-14.0,131.25,Australia,,Wagiman,1096,False,False
warayinaustralia,,57,wry,wrz,{},-13.1666666667,131.25,Australia,,Waray (in Australia),1970,False,False
wardaman,,33,wrd,wrr,{},-15.5,131.0,Australia,,Wardaman,2395,False,True
tiwi,,53,tiw,tiw,{},-11.5,131.0,Australia,,Tiwi,2499,True,True
kamu,,54,kmw,xmu,{},-13.5833333333,130.833333333,Australia,,Kamu,1119,False,False
laragia,,59,lar,lrg,{},-12.6666666667,130.833333333,Australia,,Laragia,1691,False,False
gurindji,,559,gji,gue,{},-17.6666666667,130.666666667,Australia,,Gurindji,325,False,False
ngarinyman,,559,ngy,nbj,{},-16.5,130.5,Australia,,Ngarinyman,187,False,False
jaminjung,,39,jam,djd,{},-15.0833333333,130.5,Australia,,Jaminjung,1684,False,False
ngankikurungkurr,,563,ngk,nam,{},-14.0,130.5,Australia,,Ngankikurungkurr,1939,False,False
matngele,,54,mdl,zml,{},-13.8333333333,130.416666667,Australia,,Matngele,1128,False,False
pungupungu,,43,pun,wdj,{},-13.5,130.416666667,Australia,,Pungupungu,1266,False,False
ngangityemerri,,563,ngg,nam,{},-14.25,130.416666667,Australia,,Ngan'gityemerri,1319,False,False
malakmalak,,51,mlk,mpb,{},-13.4166666667,130.416666667,Australia,,Malakmalak,2267,False,False
tyeraity,,51,tye,woa,{},-13.0,130.333333333,Australia,,Tyeraity,846,False,False
bachamal,,43,bac,wdj,{},-13.1666666667,130.166666667,Australia,,Bachamal,1212,False,False
maringarr,,565,mrr,zmt,{},-14.25,130.0,Australia,,Maringarr,1041,False,False
emmi,,564,emm,amy,{},-13.5,130.0,Australia,,Emmi,1167,False,False
marrithiyel,,565,mrh,mfr,{},-13.8333333333,130.0,Australia,,Marrithiyel,1467,False,False
