ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
amis,,539,ami,ami,{},23.3333333333,121.333333333,Papunesia,,Amis,910,False,False
atayal,,89,ata,tay,{},24.5,121.333333333,Papunesia,,Atayal,2143,False,False
keo,,75,keo,xxk,{},-8.83333333333,121.25,Papunesia,,Ke'o,131,False,False
hanunoo,,513,hnn,hnn,{},12.3333333333,121.25,Papunesia,,Hanunóo,797,False,False
balangao,,514,blg,blw,{},17.1666666667,121.166666667,Papunesia,,Balangao,641,False,False
ifugaobatad,,514,ifu,ifb,{},16.8333333333,121.083333333,Papunesia,,Ifugao (Batad),1801,False,False
isnag,,514,isn,isd,{},18.25,121.0,Papunesia,,Isnag,112,False,False
taiwanesesignlanguageziranshouyu,,330,tzi,tss,{},24.0,121.0,Papunesia,,Taiwanese Sign Language (Ziran Shouyu),455,False,False
tausug,,513,tsg,tsg,{},6.0,121.0,Papunesia,,Tausug,1487,False,False
ilocano,,514,ilo,ilo,{},16.0,121.0,Papunesia,,Ilocano,1641,False,False
ngada,,75,ngd,nxg,{},-8.83333333333,121.0,Papunesia,,Ngad'a,1811,False,False
tagalog,,513,tag,tgl,{},15.0,121.0,Papunesia,,Tagalog,2525,True,True
thao,,540,thw,ssf,{},23.8833333333,120.916666667,Papunesia,,Thao,232,False,False
bontok,,514,btk,bnc,{},17.0833333333,120.916666667,Papunesia,,Bontok,1791,False,False
karao,,514,kao,kyj,{},16.5,120.833333333,Papunesia,,Karao,126,False,False
pamona,,526,pna,pmf,{},-1.75,120.833333333,Papunesia,,Pamona,1001,False,False
rukai,,522,ruk,dru,{},22.8333333333,120.833333333,Papunesia,,Rukai (Tanan),2140,False,False
paiwan,,86,pai,pwn,{},22.5,120.833333333,Papunesia,,Paiwan,2399,True,True
tsou,,96,tso,tsu,{},23.5,120.75,Papunesia,,Tsou,1742,False,False
kankanay,,514,kky,kne,{},16.75,120.583333333,Papunesia,,Kankanay,347,False,False
selayar,,525,sly,sly,{},-6.0,120.5,Papunesia,,Selayar,747,False,False
