ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
ahtna,,262,aht,aht,{},62.0,-145.0,North America,,Ahtna,1382,False,False
eyak,,264,eya,eya,{},60.5,-145.0,North America,,Eyak,1391,False,False
kutchin,,262,kth,gwi,{},67.0,-146.0,North America,,Kutchin,365,False,False
tanaina,,262,tnj,tfn,{},62.0,-150.0,North America,,Tanaina,457,False,False
tananalower,,262,tnl,taa,{},65.0,-150.0,North America,,Tanana (Lower),458,False,False
koyukon,,262,kyn,koy,{},65.0,-155.0,North America,,Koyukon,1180,False,False
upperkuskokwim,,262,uku,kuu,{},63.0,-157.0,North America,,Upper Kuskokwim,847,False,False
alutiiq,,158,atq,ems,{},57.0,-157.0,North America,,Alutiiq,854,False,False
hawaiiancreole,,331,hwc,hwc,{},21.5,-158.0,North America,,Hawaiian Creole,798,False,False
degexitan,,262,dgx,ing,{},62.0,-160.0,North America,,Degexit'an,313,False,False
yupikcentral,,158,ypk,esu,{},59.5,-160.0,North America,,Yup'ik (Central),2365,False,True
inupiaq,,158,inu,esi,{},67.0,-161.0,North America,,Iñupiaq,540,False,False
yupiknortonsound,,158,yun,esu,{},64.0,-161.0,North America,,Yup'ik (Norton Sound),776,False,False
aleuteastern,,157,aea,ale,{},54.75,-164.0,North America,,Aleut (Eastern),1292,False,False
yupikchevak,,158,ych,esu,{},61.5,-165.75,North America,,Yup'ik (Chevak),775,False,False
aleut,,157,ale,ale,{},54.0,-166.0,North America,,Aleut,1788,False,False
internationalsign,,330,isl,,{},40.0,-170.0,North America,,International Sign,110,False,False
