ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
shigatse,,389,shg,bod,{},29.0,89.0,Eurasia,,Shigatse,2615,False,False
sikkimese,,389,skk,sip,{},27.8333333333,88.5,Eurasia,,Sikkimese,1778,False,False
lepcha,,379,lep,lep,{},27.1666666667,88.5,Eurasia,,Lepcha,2371,False,True
shor,,19,shr,cjs,{},53.0,88.0,Eurasia,,Shor,598,False,False
dhimal,,511,dhm,dhi,{},26.6666666667,87.75,Eurasia,,Dhimal,50,False,False
limbu,,512,lim,lif,{},27.1666666667,87.75,Eurasia,,Limbu,2277,False,False
lhomi,,389,lho,lhm,{},27.6666666667,87.4166666667,Eurasia,,Lhomi,1185,False,False
malto,,150,mto,kmj,{},25.0,87.3333333333,Eurasia,,Malto,1086,False,False
athpare,,512,ath,aph,{},27.0,87.3333333333,Eurasia,,Athpare,1888,False,False
yamphu,,512,ybi,ybi,{},27.5833333333,87.3333333333,Eurasia,,Yamphu,2621,False,False
belhare,,512,bel,byw,{},26.9666666667,87.3,Eurasia,,Belhare,2037,False,False
kulung,,512,klg,kle,{},27.5,87.0,Eurasia,,Kulung,364,False,False
altaisouthern,,19,aso,alt,{},51.0,87.0,Eurasia,,Altai (Southern),498,False,False
santali,,66,stl,sat,{},24.5,87.0,Eurasia,,Santali,1570,False,False
ket,,503,ket,ket,{},64.0,87.0,Eurasia,,Ket,2458,False,True
sherpa,,389,she,xsr,{},27.75,86.8333333333,Eurasia,,Sherpa,1482,False,False
camling,,512,cml,rab,{},27.0,86.6666666667,Eurasia,,Camling,1386,False,False
khaling,,512,khg,klr,{},27.5,86.6666666667,Eurasia,,Khaling,1834,False,False
dumi,,512,dmi,dus,{},27.25,86.6666666667,Eurasia,,Dumi,1891,False,False
bhumij,,66,bhu,unr,{},21.3333333333,86.5,Eurasia,,Bhumij,1022,False,False
thulung,,512,thu,tdh,{},27.4166666667,86.5,Eurasia,,Thulung,1427,False,False
enets,,463,ene,"enf, enh",{},67.5,86.5,Eurasia,,Enets,1544,False,False
tibetandingri,,389,tdi,bod,{},28.5,86.5,Eurasia,,Tibetan (Dingri),2611,False,False
juang,,66,jun,jun,{},21.3333333333,86.0,Eurasia,,Juang,341,False,False
thangmi,,512,thn,thf,{},27.75,86.0,Eurasia,,Thangmi,1371,False,False
ho,,66,ho,hoc,{},22.0,86.0,Eurasia,,Ho,1598,False,False
newardolakha,,512,nwd,new,{},27.3333333333,86.0,Eurasia,,Newar (Dolakha),1770,False,False
hayu,,512,hay,vay,{},27.25,86.0,Eurasia,,Hayu,2022,False,False
maithili,,182,mai,mai,{},26.0,86.0,Eurasia,,Maithili,2100,False,False
wambule,,512,wme,wme,{},29.25,85.9166666667,Eurasia,,Wambule,2620,False,False
tamang eastern,,389,tam,"taj, tge",{},27.5,85.6666666667,Eurasia,,Tamang (Eastern),2179,False,False
magahi,,182,mgh,mag,{},23.5,85.5,Eurasia,,Magahi,934,False,False
kurukh,,150,kur,kru,{},22.8333333333,85.5,Eurasia,,Kurukh,1462,False,False
newarikathmandu,,512,new,new,{},27.6666666667,85.5,Eurasia,,Newari (Kathmandu),2158,False,False
kyirong,,389,kgy,kgy,{},28.4166666667,85.3333333333,Eurasia,,Kyirong,2613,False,False
oriya,,182,oya,ori,{},21.0,85.0,Eurasia,,Oriya,1564,False,False
nepali,,182,nep,nep,{},28.0,85.0,Eurasia,,Nepali,2290,False,False
chepang,,512,cpn,cdm,{},27.6666666667,84.75,Eurasia,,Chepang,1829,False,False
kusunda,,221,kus,kgg,{},28.0,84.6666666667,Eurasia,,Kusunda,930,False,False
