ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
shabo,,310,shb,sbf,{},7.58333333333,35.4166666667,Africa,,Shabo,1330,False,False
datooga,,320,dat,tcc,{},-4.33333333333,35.3333333333,Africa,,Datooga,312,False,False
chai,,322,cai,suq,{},5.33333333333,35.3333333333,Africa,,Chai,1677,False,False
sena,,274,sen,seh,{},-18.0,35.25,Africa,,Sena,596,False,False
tirmaga,,322,trm,suq,{},5.75,35.25,Africa,,Tirmaga,1372,False,False
hadza,,166,had,hts,{},-3.75,35.1666666667,Africa,,Hadza,1235,False,False
tanzaniasignlanguage,,330,tsl,tza,{},-6.0,35.0,Africa,,Tanzania Sign Language,459,False,False
majang,,322,maj,mpe,{},6.75,35.0,Africa,,Majang,1762,False,False
sandawe,,214,sdw,sad,{},-5.0,35.0,Africa,,Sandawe,1776,False,False
nandi,,320,nan,kln,{},0.25,35.0,Africa,,Nandi,2336,False,False
gusii,,274,gus,guz,{},-0.75,34.8333333333,Africa,,Gusii,97,False,False
pangwa,,274,png,pbr,{},-10.0,34.75,Africa,,Pangwa,1002,False,False
so,,316,so,teu,{},2.58333333333,34.75,Africa,,So,2224,False,False
luo,,320,luo,luo,{},-0.5,34.75,Africa,,Luo,2301,False,False
bukusu,,274,buk,bxk,{},0.75,34.6666666667,Africa,,Bukusu,518,False,False
rimi,,274,rim,rim,{},-5.0,34.6666666667,Africa,,Rimi,833,False,False
berta,,319,ber,wti,{},10.3333333333,34.6666666667,Africa,,Berta,2132,False,False
sebei,,320,seb,kpz,{},1.33333333333,34.5833333333,Africa,,Sebei,1815,False,False
baale,,322,blj,koe,{},6.5,34.5,Africa,,Baale,509,False,False
luyia,,274,luy,luy,{},0.416666666667,34.5,Africa,,Luyia,555,False,False
karimojong,,320,kmj,kdj,{},3.0,34.1666666667,Africa,,Karimojong,1976,False,False
ik,,316,ik,ikx,{},3.75,34.1666666667,Africa,,Ik,2262,False,False
kinga,,274,kga,zga,{},-9.0,34.0,Africa,,Kinga,1246,False,False
chichewa,,274,cic,nya,{},-14.0,34.0,Africa,,Chichewa,1950,False,False
ingessana,,298,igs,tbi,{},11.5,34.0,Africa,,Ingessana,1956,False,False
teso,,320,tes,teo,{},1.83333333333,33.8333333333,Africa,,Teso,1883,False,False
komo,,300,kom,xom,{},8.75,33.75,Africa,,Komo,1997,False,False
nyangi,,316,nyg,nyp,{},3.41666666667,33.5833333333,Africa,,Nyangi,1260,False,False
didinga,,322,did,did,{},4.5,33.5,Africa,,Didinga,1927,False,False
anywa,,320,any,anu,{},8.0,33.5,Africa,,Anywa,1946,False,False
murle,,322,mrl,mur,{},6.5,33.5,Africa,,Murle,2384,False,True
nyiha,,274,nyh,nih,{},-10.0,33.0,Africa,,Nyiha,891,False,False
nubiankunuz,,307,nku,kzh,{},23.0,33.0,Africa,,Nubian (Kunuz),1476,False,False
nyamwezi,,274,nym,nym,{},-5.0,33.0,Africa,,Nyamwezi,1773,False,False
lango,,320,lan,laj,{},2.16666666667,33.0,Africa,,Lango,2512,True,True
acholi,,320,acl,ach,{},3.0,32.6666666667,Africa,,Acholi,1886,False,False
